"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"000","LEADER","LEADER","0","1","0","","","","HLD"
"001","CONTROL NUMBER","CONTROL NUMBER","0","0","0","","","","HLD"
"003","CONTROL NUMBER IDENTIFIER","CONTROL NUMBER IDENTIFIER","0","1","0","","","","HLD"
"004","CONTROL NUMBER FOR RELATED BIBLIOGRAPHIC RECORD","CONTROL NUMBER FOR RELATED BIBLIOGRAPHIC RECORD","0","0","0","","","","HLD"
"005","DATE AND TIME OF LATEST TRANSACTION","DATE AND TIME OF LATEST TRANSACTION","0","1","0","","","","HLD"
"006","FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS","FIXED-LENGTH DATA ELEMENTS--ADDITIONAL MATERIAL CHARACTERISTICS","1","0","0","","","","HLD"
"007","PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION","PHYSICAL DESCRIPTION FIXED FIELD--GENERAL INFORMATION","1","0","0","","","","HLD"
"008","FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION","FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION","0","1","0","","","","HLD"
"010","LIBRARY OF CONGRESS CONTROL NUMBER","LIBRARY OF CONGRESS CONTROL NUMBER","0","0","0","","","","HLD"
"014","LINKAGE NUMBER","LINKAGE NUMBER","1","0","0","","","","HLD"
"016","NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER","NATIONAL BIBLIOGRAPHIC AGENCY CONTROL NUMBER","1","0","0","","","","HLD"
"017","COPYRIGHT OR LEGAL DEPOSIT NUMBER","COPYRIGHT OR LEGAL DEPOSIT NUMBER","1","0","0","","","","HLD"
"020","INTERNATIONAL STANDARD BOOK NUMBER","INTERNATIONAL STANDARD BOOK NUMBER","1","0","0","","","","HLD"
"022","INTERNATIONAL STANDARD SERIAL NUMBER","INTERNATIONAL STANDARD SERIAL NUMBER","1","0","0","","","","HLD"
"024","OTHER STANDARD IDENTIFIER","OTHER STANDARD IDENTIFIER","1","0","0","","","","HLD"
"027","STANDARD TECHNICAL REPORT NUMBER","STANDARD TECHNICAL REPORT NUMBER","1","0","0","","","","HLD"
"030","CODEN DESIGNATION","CODEN DESIGNATION","1","0","0","","","","HLD"
"035","SYSTEM CONTROL NUMBER","SYSTEM CONTROL NUMBER","1","0","0","","","","HLD"
"040","CATALOGING SOURCE","CATALOGING SOURCE","0","0","0","","","","HLD"
"066","CHARACTER SETS PRESENT","CHARACTER SETS PRESENT","0","0","0","","","","HLD"
"337","MEDIA TYPE","MEDIA TYPE","1","0","0","","","","HLD"
"338","CARRIER TYPE","CARRIER TYPE","1","0","0","","","","HLD"
"347","DIGITAL FILE CHARACTERISTICS","DIGITAL FILE CHARACTERISTICS","1","0","0","","","","HLD"
"506","RESTRICTIONS ON ACCESS NOTE","RESTRICTIONS ON ACCESS NOTE","1","0","0","","","","HLD"
"538","SYSTEM DETAILS NOTE","SYSTEM DETAILS NOTE","1","0","0","","","","HLD"
"541","IMMEDIATE SOURCE OF ACQUISITION NOTE","IMMEDIATE SOURCE OF ACQUISITION NOTE","1","0","0","","","","HLD"
"561","OWNERSHIP AND CUSTODIAL HISTORY","OWNERSHIP AND CUSTODIAL HISTORY","1","0","0","","","","HLD"
"562","COPY AND VERSION IDENTIFICATION NOTE","COPY AND VERSION IDENTIFICATION NOTE","1","0","0","","","","HLD"
"563","BINDING INFORMATION","BINDING INFORMATION","1","0","0","","","","HLD"
"583","ACTION NOTE","ACTION NOTE","1","0","0","","","","HLD"
"842","TEXTUAL PHYSICAL FORM DESIGNATOR","TEXTUAL PHYSICAL FORM DESIGNATOR","0","0","0","","","","HLD"
"843","REPRODUCTION NOTE","REPRODUCTION NOTE","1","0","0","","","","HLD"
"844","NAME OF UNIT","NAME OF UNIT","0","0","0","","","","HLD"
"845","TERMS GOVERNING USE AND REPRODUCTION NOTE","TERMS GOVERNING USE AND REPRODUCTION NOTE","1","0","0","","","","HLD"
"852","LOCATION","LOCATION","1","0","0","","","","HLD"
"853","CAPTIONS AND PATTERN--BASIC BIBLIOGRAPHIC UNIT","CAPTIONS AND PATTERN--BASIC BIBLIOGRAPHIC UNIT","1","0","0","","","","HLD"
"854","CAPTIONS AND PATTERN--SUPPLEMENTARY MATERIAL","CAPTIONS AND PATTERN--SUPPLEMENTARY MATERIAL","1","0","0","","","","HLD"
"855","CAPTIONS AND PATTERN--INDEXES","CAPTIONS AND PATTERN--INDEXES","1","0","0","","","","HLD"
"856","ELECTRONIC LOCATION AND ACCESS","ELECTRONIC LOCATION AND ACCESS","1","0","0","","","","HLD"
"863","ENUMERATION AND CHRONOLOGY--BASIC BIBLIOGRAPHIC UNIT","ENUMERATION AND CHRONOLOGY--BASIC BIBLIOGRAPHIC UNIT","1","0","0","","","","HLD"
"864","ENUMERATION AND CHRONOLOGY--SUPPLEMENTARY MATERIAL","ENUMERATION AND CHRONOLOGY--SUPPLEMENTARY MATERIAL","1","0","0","","","","HLD"
"865","ENUMERATION AND CHRONOLOGY--INDEXES","ENUMERATION AND CHRONOLOGY--INDEXES","1","0","0","","","","HLD"
"866","TEXTUAL HOLDINGS--BASIC BIBLIOGRAPHIC UNIT","TEXTUAL HOLDINGS--BASIC BIBLIOGRAPHIC UNIT","1","0","0","","","","HLD"
"867","TEXTUAL HOLDINGS--SUPPLEMENTARY MATERIAL","TEXTUAL HOLDINGS--SUPPLEMENTARY MATERIAL","1","0","0","","","","HLD"
"868","TEXTUAL HOLDINGS--INDEXES","TEXTUAL HOLDINGS--INDEXES","1","0","0","","","","HLD"
"876","ITEM INFORMATION--BASIC BIBLIOGRAPHIC UNIT","ITEM INFORMATION--BASIC BIBLIOGRAPHIC UNIT","1","0","0","","","","HLD"
"877","ITEM INFORMATION--SUPPLEMENTARY MATERIAL","ITEM INFORMATION--SUPPLEMENTARY MATERIAL","1","0","0","","","","HLD"
"878","ITEM INFORMATION--INDEXES","ITEM INFORMATION--INDEXES","1","0","0","","","","HLD"
"880","ALTERNATE GRAPHIC REPRESENTATION","ALTERNATE GRAPHIC REPRESENTATION","1","0","0","","","","HLD"
"883","MACHINE-GENERATED METADATA PROVENANCE","MACHINE-GENERATED METADATA PROVENANCE","1","0","0","","","","HLD"
"884","DESCRIPTION CONVERSION INFORMATION","DESCRIPTION CONVERSION INFORMATION","1","0","0","","","","HLD"
"942","ADDED ENTRY ELEMENTS (KOHA)","ADDED ENTRY ELEMENTS (KOHA)","0","0","0","","","","HLD"
"999","SYSTEM CONTROL NUMBERS (KOHA)","SYSTEM CONTROL NUMBERS (KOHA)","1","0","0","","","","HLD"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

"tagfield","tagsubfield","liblibrarian","libopac","repeatable","mandatory","important","kohafield","tab","authorised_value","authtypecode","value_builder","isurl","hidden","frameworkcode","seealso","link","defaultvalue","maxlength"
"000","@","fixed length control field","fixed length control field","0","1","0","","0","","","marc21_leader_holdings.pl","0","0","HLD","","","","24"
"001","@","control field","control field","0","0","0","","0","","","","0","4","HLD","","","","9999"
"003","@","control field","control field","0","1","0","","0","","","marc21_orgcode.pl","0","0","HLD","","","","9999"
"004","@","control field","control field","0","0","0","","0","","","","0","0","HLD","","","","9999"
"005","@","control field","control field","0","1","0","","0","","","marc21_field_005.pl","0","0","HLD","","","","9999"
"006","@","fixed length control field","fixed length control field","0","0","0","","0","","","marc21_field_006.pl","0","0","HLD","","","","9999"
"007","@","fixed length control field","fixed length control field","0","0","0","","0","","","marc21_field_007.pl","0","0","HLD","","","","9999"
"008","@","fixed length control field","fixed length control field","0","1","0","","0","","","marc21_field_008_holdings.pl","0","0","HLD","","","","40"
"010","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"010","a","LC control number","LC control number","0","0","0","","0","","","","0","0","HLD","","","","9999"
"010","b","NUCMC control number","NUCMC control number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"010","z","Canceled/invalid LC control number","Canceled/invalid LC control number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"014","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"014","a","Linkage number","Linkage number","0","0","0","","0","","","","0","-1","HLD","","","","9999"
"014","b","Source of number","Source of number","0","0","0","","0","","","","0","-1","HLD","","","","9999"
"014","z","Canceled/invalid linkage number","Canceled/invalid linkage number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"016","2","Source","Source","0","0","0","","0","","","","0","0","HLD","","","","9999"
"016","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"016","a","Record control number","Record control number","0","0","0","","0","","","","0","0","HLD","","","","9999"
"016","z","Canceled/invalid control number","Canceled/invalid control number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"017","2","Source","Source","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","a","Copyright or legal deposit number","Copyright or legal deposit number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","b","Assigning agency","Assigning agency","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","d","Date","Date","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","i","Display text","Display text","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"017","z","Canceled/invalid copyright or legal deposit number","Canceled/invalid copyright or legal deposit number","1","0","0","","0","","","","","-6","HLD","","","","9999"
"020","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"020","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"020","a","International Standard Book Number","International Standard Book Number","0","0","0","","0","","","","0","0","HLD","","","","9999"
"020","c","Terms of availability","Terms of availability","0","0","0","","0","","","","0","0","HLD","","","","9999"
"020","q","Qualifying information","Qualifying information","1","0","0","","0","","","","0","0","HLD","","","","9999"
"020","z","Canceled/invalid ISBN","Canceled/invalid ISBN","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"022","2","Source","Source","0","0","0","","0","","","","0","0","HLD","","","","9999"
"022","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"022","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"022","a","International Standard Serial Number","International Standard Serial Number","0","0","0","","0","","","","0","0","HLD","","","","9999"
"022","l","ISSN-L","ISSN-L","0","0","0","","0","","","","","-6","HLD","","","","9999"
"022","m","Canceled ISSN-L","Canceled ISSN-L","1","0","0","","0","","","","","-6","HLD","","","","9999"
"022","y","Incorrect ISSN","Incorrect ISSN","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"022","z","Canceled ISSN","Canceled ISSN","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"024","2","Source of number or code","Source of number or code","0","0","0","","0","","","","0","0","HLD","","","","9999"
"024","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"024","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"024","a","Standard number or code","Standard number or code","0","0","0","","0","","","","0","0","HLD","","","","9999"
"024","b","Additional codes following the standard number [OBSOLETE]","Additional codes following the standard number [OBSOLETE]","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"024","c","Terms of availability","Terms of availability","0","0","0","","0","","","","0","0","HLD","","","","9999"
"024","d","Additional codes following the standard number or code","Additional codes following the standard number or code","0","0","0","","0","","","","0","0","HLD","","","","9999"
"024","q","Qualifying information","Qualifying information","1","0","0","","0","","","","0","0","HLD","","","","9999"
"024","z","Canceled/invalid standard number or code","Canceled/invalid standard number or code","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"027","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"027","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"027","a","Standard technical report number","Standard technical report number","0","0","0","","0","","","","0","-1","HLD","","","","9999"
"027","q","Qualifying information","Qualifying information","1","0","0","","0","","","","0","0","HLD","","","","9999"
"027","z","Canceled/invalid number","Canceled/invalid number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"030","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"030","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"030","a","CODEN","CODEN","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"030","z","Canceled/invalid CODEN","Canceled/invalid CODEN","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"035","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"035","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"035","a","System control number","System control number","0","0","0","","0","","","","0","0","HLD","","","","9999"
"035","z","Canceled/invalid control number","Canceled/invalid control number","1","0","0","","0","","","","0","-1","HLD","","","","9999"
"040","6","Linkage","Linkage","0","0","0","","0","","","","0","-6","HLD","","","","9999"
"040","8","Field link and sequence number","Field link and sequence number","1","0","0","","0","","","","0","-6","HLD","","","","9999"
"040","a","Original cataloging agency","Original cataloging agency","0","0","0","","0","","","","0","0","HLD","","","","9999"
"040","b","Language of cataloging","Language of cataloging","0","0","0","","0","","","","0","0","HLD","","","","9999"
"040","c","Transcribing agency","Transcribing agency","0","0","0","","0","","","","0","0","HLD","","","","9999"
"040","d","Modifying agency","Modifying agency","1","0","0","","0","","","","0","0","HLD","","","","9999"
"066","a","Primary G0 character set","Primary G0 character set","0","0","0","","0","","","","","-6","HLD","","","","9999"
